what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1336120563256
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1336120563257
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1336120563435
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1336120563458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336120568713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336120999556
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336121044692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121050922
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1336121212184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121212330
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336121256849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121258025
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1336121258070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121259430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121284533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121309092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1336121309164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121315953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121732659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121784334
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1336121805979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121806067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336121910267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125624157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125627417
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1336125627600
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1336125629401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125651430
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1336125651731
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1336125651890
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1336125651903
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1336125685968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125690041
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1336125690268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125690457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125690509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125691385
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1336125699396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125703530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125703765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125703793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125704438
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1336125706851
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1336125706878
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1336125708855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336125719323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125726074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125758437
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1336125764045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336125764889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336125765868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336128081264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336128094696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336128240140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336128246436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336128251028
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1336128251075
